Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 580
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,CALL freq,FOLD freq
7h 4d 3c,0.62997,66.85,1008.18,128.239,33.15,166.325,52.1571,76.39,4.77,18.84
7h 5d 5c,0.65572,64.92,978.938,128.231,35.08,195.559,57.9429,61.46,20.71,17.83
7h 5d 2c,0.51692,61.64,914.3,126.122,38.36,260.2,70.5176,57.21,28.96,13.82
7h 5d 3c,0.60216,66.46,999.769,127.914,33.54,174.728,54.1568,73.73,8.21,18.06
7h 5d 4c,0.53819,67.11,1013.77,128.454,32.89,160.733,50.7992,84.97,2.16,12.88
7h 6d 6c,0.17843,61.67,918.596,126.654,38.33,255.901,69.4063,63.26,25.27,11.48
7h 6d 2c,0.56858,68.85,1063.31,131.332,31.15,111.194,37.1016,62.49,21.11,16.41
7h 6d 3c,0.25485,63.86,963.396,128.279,36.14,211.105,60.724,66.90,21.43,11.67
7h 6d 4c,0.48076,63.72,951.701,126.996,36.28,222.801,63.8444,86.59,0.41,12.99
7h 6d 5c,0.15925,61.54,905.735,125.153,38.46,268.769,72.642,84.06,3.55,12.39
8c 2d 2c,1.18942,66.36,992.161,127.13,33.64,182.339,56.3489,71.18,11.92,16.90
8c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 3c 2d,0.37127,62.85,935.632,126.578,37.15,238.869,66.8471,71.85,21.70,6.46
8c 3d 3c,1.15523,65.27,977.51,127.346,34.73,196.986,58.9633,72.08,11.96,15.95
8c 3d 2c,0.4269,63.75,953.721,127.207,36.25,220.776,63.316,72.78,21.14,6.08
8c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 2d,0.73322,65.62,993.179,128.701,34.38,181.319,54.8237,75.43,16.14,8.42
8c 4c 3c,0.00052,64.37,988.851,130.629,35.63,185.653,54.1644,34.91,65.09,0.00
8c 4c 3d,0.48957,64.81,978.954,128.439,35.19,195.545,57.7676,74.45,18.53,7.02
8c 4d 4c,0.8904,65.45,982.715,127.676,34.55,191.786,57.7025,66.15,18.13,15.72
8c 4d 2c,0.65282,64.78,975.735,128.074,35.22,198.765,58.6693,75.20,16.38,8.42
8c 4d 3c,0.38919,64.22,968.122,128.189,35.78,206.376,59.9579,75.45,17.61,6.95
8c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 2d,0.62833,65.69,989.565,128.087,34.31,184.934,56.0379,67.35,22.56,10.09
8c 5c 3c,0.00014,44.35,578.639,110.935,55.65,595.846,111.307,85.66,14.29,0.05
8c 5c 3d,0.3445,63.98,959.803,127.564,36.02,214.695,61.9599,67.59,24.39,8.02
8c 5c 4c,0.00016,70.80,1103.33,132.507,29.20,71.1658,25.3378,63.28,31.63,5.10
8c 5c 4d,0.1225,64.17,961.994,127.473,35.83,212.505,61.6554,79.39,14.53,6.08
8c 5d 5c,0.6364,64.32,962.753,127.28,35.68,211.745,61.69,58.87,26.46,14.67
8c 5d 2c,0.5076,63.89,956.675,127.325,36.11,217.826,62.7081,67.77,23.54,8.69
8c 5d 3c,0.2388,63.78,955.63,127.411,36.22,218.87,62.8125,70.62,21.62,7.76
8c 5d 4c,0.09987,62.98,935.391,126.288,37.02,239.111,67.1461,82.78,10.02,7.20
8c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 2d,0.66178,63.78,963.456,128.45,36.22,211.044,60.5705,66.67,21.25,12.08
