Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
7c 5d 3c,44.8274,45.84,15.8851,77.0077,54.16,38.6149,127.318,17.77,62.71,19.51
7c 5d 4c,31.2885,46.60,16.3104,77.7858,53.40,38.1896,127.699,17.00,63.57,19.43
7c 6c 2c,98.0856,46.90,16.8661,79.9114,53.10,37.6339,126.565,9.13,66.87,24.00
7c 6c 2d,61.2736,45.82,15.6219,75.7669,54.18,38.8781,128.135,18.23,62.46,19.31
7c 6c 3c,83.1188,47.41,17.0947,80.1281,52.59,37.4052,127.01,7.84,71.24,20.92
7c 6c 3d,38.2977,46.20,15.7919,75.9674,53.80,38.7081,128.467,18.13,62.47,19.40
7c 6c 4c,71.0418,47.74,17.2979,80.5172,52.26,37.2021,127.122,7.25,72.93,19.82
7c 6c 4d,31.151,46.95,16.3306,77.3009,53.05,38.1694,128.474,17.54,63.65,18.81
7c 6c 5c,63.4921,47.52,16.9607,79.3159,52.48,37.5393,127.731,7.19,72.90,19.91
7c 6c 5d,27.4335,47.28,16.3652,76.9137,52.72,38.1348,129.176,15.46,66.04,18.50
7c 6d 6c,49.0388,44.62,15.4251,76.8306,55.38,39.0749,125.985,21.91,54.89,23.20
7c 6d 2c,60.7837,45.93,15.6925,75.9199,54.07,38.8075,128.172,18.19,62.42,19.39
7c 6d 3c,37.6218,46.25,15.8171,75.9965,53.75,38.6829,128.517,18.16,62.30,19.53
7c 6d 4c,29.9315,47.02,16.3577,77.3069,52.98,38.1423,128.563,17.78,63.26,18.96
7c 6d 5c,24.2937,47.34,16.4068,77.0191,52.66,38.0932,129.171,15.65,65.68,18.67
7d 7c 2c,44.0067,42.57,14.9521,78.0572,57.43,39.5479,122.964,22.29,48.09,29.61
7d 7c 3c,43.2683,42.97,14.9513,77.3244,57.03,39.5487,123.831,21.79,51.02,27.19
7d 7c 4c,40.7776,43.79,15.27,77.4971,56.21,39.23,124.621,21.15,54.32,24.54
7d 7c 5c,46.0601,44.27,15.4884,77.747,55.73,39.0116,125.002,20.68,56.48,22.85
7d 7c 6c,50.6358,44.57,15.5182,77.3742,55.43,38.9818,125.58,21.72,55.22,23.07
7h 7d 7c,100,41.52,13.6721,73.1771,58.48,40.8279,124.668,12.03,62.54,25.43
7d 3c 2c,65.1189,44.20,15.3744,77.2916,55.80,39.1256,125.217,20.05,57.33,22.62
7d 4c 2c,57.0474,44.96,15.5547,76.887,55.04,38.9453,126.347,18.57,60.48,20.95
7d 4c 3c,34.3529,45.64,15.8186,77.0167,54.36,38.6814,127.074,17.93,60.40,21.67
