Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
7h 7d 5c,0.34092,45.48,52.7901,64.4898,54.52,194.998,132.46,0.00,21.61,30.90,47.49
7h 7d 6c,0.35723,45.02,50.8571,62.7562,54.98,196.2,132.173,0.00,20.85,34.37,44.78
7h 2d 2c,0.20245,40.81,45.1019,61.4025,59.19,201.397,126.015,0.00,28.59,22.75,48.66
7h 3d 3c,0.24618,43.15,47.171,60.7273,56.85,199.413,129.923,0.00,25.95,25.59,48.46
7h 3d 2c,0.05808,41.31,36.4936,49.0825,58.69,207.55,130.969,0.00,22.42,33.89,43.69
7h 4d 4c,0.14081,44.37,53.5825,67.0895,55.63,193.238,128.655,0.00,21.14,31.27,47.60
7h 4d 2c,0.01135,41.27,33.6425,45.2927,58.73,210.112,132.494,0.00,22.84,33.88,43.28
7h 4d 3c,0.49251,41.87,37.4604,49.7062,58.13,205.796,131.118,0.00,26.58,30.08,43.35
7h 5d 5c,0.13037,45.38,50.3172,61.6058,54.62,196.874,133.486,0.00,17.41,35.91,46.68
7h 5d 2c,0.16755,42.79,39.6192,51.4332,57.21,203.606,131.823,0.00,19.29,40.93,39.78
7h 5d 3c,0.46943,43.79,39.0708,49.5671,56.21,203.318,133.97,0.00,24.97,35.45,39.58
7h 5d 4c,1.08683,44.00,45.7014,57.6977,56.00,197.924,130.913,0.00,28.05,29.89,42.06
7h 6d 6c,0.2809,44.63,48.7491,60.6861,55.37,197.787,132.294,0.00,18.60,36.92,44.48
7h 6d 2c,0.25671,42.82,39.968,51.8497,57.18,203.031,131.52,0.00,18.64,42.77,38.58
7h 6d 3c,0.78844,43.55,43.3028,55.2403,56.45,198.129,129.993,0.00,18.95,48.25,32.80
7h 6d 4c,0.85972,43.96,48.9524,61.8588,56.04,193.285,127.753,0.00,21.11,45.56,33.33
7h 6d 5c,0.74035,45.98,55.8376,67.4681,54.02,188.122,128.976,0.00,29.81,27.05,43.14
8c 2d 2c,0.19353,41.19,46.5509,62.7869,58.81,199.218,125.461,0.00,18.27,37.81,43.91
8c 3c 2c,0.00001,38.93,63.0856,90.0186,61.07,176.688,107.161,0.86,27.79,23.37,47.98
8c 3c 2d,0.17654,42.77,37.514,48.7249,57.23,205.104,132.742,1.38,17.06,42.66,38.91
8c 3d 3c,0.19324,41.09,47.323,63.9775,58.91,199.035,125.142,0.00,17.49,37.84,44.68
8c 3d 2c,0.18184,42.91,37.7981,48.9362,57.09,205.019,133.008,1.38,17.14,42.31,39.18
8c 4c 2c,0.00001,26.66,-20.0676,-41.8155,73.34,261.448,132.036,0.51,24.95,21.46,53.08
8c 4c 2d,0.20301,44.38,37.8543,47.3914,55.62,204.363,136.073,3.00,16.53,42.04,38.43
8c 4c 3c,0.00001,32.94,9.19451,15.5083,67.06,236.274,130.49,0.62,24.07,25.39,49.91
8c 4c 3d,0.23003,44.33,38.789,48.6109,55.67,203.618,135.468,2.81,16.38,42.23,38.58
8c 4d 4c,0.15504,44.00,46.1858,58.3126,56.00,199.864,132.19,0.00,17.30,38.43,44.27
8c 4d 2c,0.19242,43.97,37.024,46.7834,56.03,205.177,135.617,2.83,16.92,41.56,38.69
8c 4d 3c,0.22512,43.97,37.4817,47.3592,56.03,204.907,135.445,2.54,16.92,41.71,38.83
8c 5c 2c,0.00001,44.86,59.0606,73.1482,55.14,189.116,127.016,0.51,26.92,25.80,46.77
8c 5c 2d,0.16998,43.30,39.325,50.4506,56.70,203.157,132.714,2.35,15.54,44.23,37.88
8c 5c 3c,0.00002,36.05,18.3555,28.2879,63.95,226.628,131.251,0.44,25.14,27.39,47.03
8c 5c 3d,0.20761,43.40,40.8605,52.3108,56.60,201.734,131.996,2.06,15.43,44.56,37.95
8c 5c 4c,0.00003,38.74,0.91834,1.31703,61.26,244.566,147.856,0.06,25.99,22.85,51.10
8c 5c 4d,0.68158,44.36,43.0387,53.9056,55.64,199.05,132.49,5.61,14.41,39.79,40.19
8c 5d 5c,0.12734,43.43,48.3407,61.8399,56.57,198.232,129.78,0.00,14.34,41.39,44.27
8c 5d 2c,0.16076,43.35,39.0858,50.0885,56.65,203.295,132.916,1.96,16.72,43.23,38.09
8c 5d 3c,0.21309,43.31,40.141,51.4884,56.69,202.383,132.226,1.39,16.88,43.53,38.19
8c 5d 4c,0.69903,44.27,42.629,53.4909,55.73,199.305,132.464,6.01,13.97,39.95,40.07
8c 6c 2c,0.00002,39.60,44.8325,62.9008,60.40,199.512,122.334,0.34,26.99,24.58,48.09
8c 6c 2d,0.21986,44.54,40.1211,50.0441,55.46,201.901,134.832,1.83,14.81,46.80,36.56
8c 6c 3c,0.00003,43.77,61.2454,77.7375,56.23,185.78,122.365,0.23,27.91,25.55,46.31
8c 6c 3d,0.21427,44.04,39.9033,50.3427,55.96,202.173,133.796,2.38,14.25,46.42,36.95
8c 6c 4c,0.00018,39.08,22.6623,32.2187,60.92,221.577,134.704,0.03,30.24,22.00,47.74
8c 6c 4d,0.55284,43.95,42.9685,54.3106,56.05,198.747,131.338,5.15,14.55,42.28,38.02
8c 6c 5c,0.03455,46.21,51.1191,61.4632,53.79,195.7,134.738,0.00,28.70,22.67,48.63
8c 6c 5d,0.78825,43.67,42.9825,54.686,56.33,200.157,131.594,4.74,16.29,37.52,41.45
8c 6d 6c,0.20726,44.71,47.3823,58.8819,55.29,198.93,133.246,0.00,14.88,41.47,43.65
8c 6d 2c,0.25612,44.48,40.8376,51.002,55.52,201.307,134.299,0.87,16.07,46.47,36.59
8c 6d 3c,0.25465,44.10,40.5,51.02,55.90,201.723,133.654,1.03,15.52,46.77,36.69
8c 6d 4c,0.59578,43.85,42.425,53.7467,56.15,199.261,131.441,4.66,15.15,42.33,37.86
8c 6d 5c,0.81442,43.75,42.8346,54.3938,56.25,200.39,131.943,4.28,16.90,37.43,41.38
8c 7c 2c,0.00002,42.45,47.5042,62.1762,57.55,196.693,126.576,0.41,27.35,24.71,47.54
8c 7c 2d,0.23634,43.39,40.7245,52.142,56.61,201.257,131.673,1.29,15.56,49.21,33.94
8c 7c 3c,0.00003,50.53,98.4166,108.211,49.47,151.636,113.518,0.24,26.78,26.61,46.37
8c 7c 3d,0.24652,43.28,40.6468,52.1754,56.72,201.337,131.469,1.56,14.98,49.68,33.78
8c 7c 4c,0.00006,36.98,22.5603,33.8886,63.02,223.122,131.138,0.18,28.57,23.05,48.20
8c 7c 4d,0.63037,42.60,46.8632,61.1185,57.40,194.841,125.715,5.27,12.01,48.90,33.82
8c 7c 5c,0.04611,44.97,49.99,61.7545,55.03,196.907,132.53,0.00,27.08,24.58,48.33
8c 7c 5d,0.52383,44.06,45.758,57.7009,55.94,196.377,130.01,4.11,15.79,45.36,34.74
8c 7c 6c,0.00033,40.65,31.766,43.4106,59.35,213.386,133.17,0.05,27.59,22.67,49.69
8c 7c 6d,0.36209,44.27,48.409,60.7451,55.73,195.652,130.034,0.90,21.52,35.28,42.30
8c 7d 7c,0.31627,42.94,52.6131,68.0677,57.06,193.721,125.746,0.00,19.12,39.03,41.84
8c 7d 2c,0.26772,43.18,41.4456,53.3195,56.82,200.738,130.856,1.04,15.87,49.88,33.21
8c 7d 3c,0.29544,43.18,41.1451,52.9377,56.82,201.082,131.071,0.89,15.74,50.01,33.37
8c 7d 4c,0.68849,42.34,46.4836,60.9979,57.66,195.404,125.507,5.14,12.38,48.34,34.14
8c 7d 5c,0.578,44.14,45.3738,57.1074,55.86,196.887,130.544,3.33,17.23,44.06,35.38
8c 7d 6c,0.36582,44.15,48.1165,60.5484,55.85,195.981,129.963,0.73,21.99,34.82,42.46
8d 8c 2c,0.18268,44.05,50.6889,63.9329,55.95,197.294,130.595,0.00,17.48,36.76,45.76
8d 8c 3c,0.19264,43.72,50.6526,64.3661,56.28,197.426,129.921,0.00,17.90,35.93,46.17
8d 8c 4c,0.22505,44.57,47.9356,59.754,55.43,199.659,133.401,0.00,19.77,33.74,46.49
8d 8c 5c,0.2255,44.54,50.6962,63.2398,55.46,196.88,131.47,0.00,17.50,36.39,46.11
8d 8c 6c,0.24017,45.26,49.8081,61.1443,54.74,197.511,133.625,0.00,17.82,36.65,45.53
8d 8c 7c,0.28759,43.95,51.9087,65.62,56.05,195.021,128.861,0.00,20.03,36.44,43.52
8h 8d 8c,0.02693,44.56,44.4194,55.3814,55.44,202.917,135.558,0.03,43.12,6.48,50.37
8d 3c 2c,0.16507,42.67,39.0153,50.8021,57.33,204.058,131.819,0.15,19.23,40.84,39.78
8d 4c 2c,0.18933,43.60,39.7287,50.6254,56.40,202.958,133.274,0.22,20.53,40.16,39.10
