Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
8c 6c 5d,100,50.15,21.2378,94.1032,49.85,22.2622,99.2455,33.07,66.93
8c 6d 6c,100,45.94,18.8627,91.234,54.06,24.6373,101.284,44.61,55.39
8c 6d 2c,100,47.35,18.5754,87.1845,52.65,24.9246,105.193,61.30,38.70
8c 6d 3c,100,47.21,18.5579,87.3456,52.79,24.9421,105.004,60.87,39.13
8c 6d 4c,100,49.29,20.3908,91.9228,50.71,23.1092,101.278,42.74,57.26
8c 6d 5c,100,50.16,21.2311,94.0608,49.84,22.2689,99.2889,33.20,66.80
8c 7c 2c,100,46.62,17.2766,82.3443,53.38,26.2234,109.177,91.01,8.99
8c 7c 2d,100,46.99,18.4702,87.3549,53.01,25.0297,104.92,59.54,40.46
8c 7c 3c,100,46.62,17.1166,81.5807,53.38,26.3834,109.845,93.77,6.23
8c 7c 3d,100,47.09,18.3983,86.8198,52.91,25.1017,105.431,61.41,38.59
8c 7c 4c,100,48.38,18.4695,84.839,51.62,25.0305,107.751,76.77,23.23
8c 7c 4d,100,49.29,20.6812,93.2377,50.71,22.8188,99.9997,35.48,64.52
8c 7c 5c,100,48.92,19.2632,87.5039,51.08,24.2368,105.442,65.51,34.49
8c 7c 5d,100,49.76,20.6939,92.4078,50.24,22.8061,100.885,39.41,60.59
8c 7c 6c,100,49.25,19.1882,86.5812,50.75,24.3118,106.454,66.27,33.73
8c 7c 6d,100,50.44,21.3175,93.9256,49.56,22.1825,99.4559,26.87,73.13
8c 7d 7c,100,45.63,18.5557,90.3693,54.37,24.9443,101.951,47.75,52.25
8c 7d 2c,100,47.02,18.4828,87.3468,52.98,25.0172,104.939,59.41,40.59
8c 7d 3c,100,47.11,18.3773,86.6934,52.89,25.1226,105.549,61.76,38.24
8c 7d 4c,100,49.34,20.6914,93.1916,50.66,22.8086,100.051,35.50,64.50
8c 7d 5c,100,49.89,20.8668,92.9525,50.11,22.6332,100.364,36.91,63.09
8c 7d 6c,100,50.54,21.461,94.359,49.46,22.039,99.0249,24.90,75.10
8d 8c 2c,100,43.40,17.5924,90.0829,56.60,25.9076,101.715,53.98,46.02
8d 8c 3c,100,43.39,17.4114,89.1825,56.61,26.0886,102.402,58.06,41.94
8d 8c 4c,100,44.73,18.1651,90.2472,55.27,25.3349,101.862,53.65,46.35
8d 8c 5c,100,45.35,18.2962,89.6623,54.65,25.2038,102.478,56.31,43.69
8d 8c 6c,100,45.47,18.3131,89.508,54.53,25.1869,102.635,54.79,45.21
8d 8c 7c,100,45.34,18.2252,89.3231,54.66,25.2748,102.758,54.46,45.54
8h 8d 8c,100,40.27,13.2602,73.1775,59.73,30.2397,112.502,100.00,0.00
8d 3c 2c,100,45.19,17.6848,86.9622,54.81,25.8151,104.668,66.93,33.07
8d 4c 2c,100,46.54,18.5536,88.5825,53.46,24.9464,103.705,59.09,40.91
8d 4c 3c,100,46.56,18.3486,87.5827,53.44,25.1514,104.58,62.76,37.24
8d 5c 2c,100,47.16,18.8218,88.6884,52.84,24.6782,103.787,58.82,41.18
8d 5c 3c,100,47.17,18.6741,87.9811,52.83,24.8258,104.421,61.49,38.51
8d 5c 4c,100,49.15,20.5752,93.0331,50.85,22.9247,100.178,39.04,60.96
8d 6c 2c,100,47.24,18.3973,86.5389,52.76,25.1027,105.735,64.79,35.21
8d 6c 3c,100,47.24,18.6071,87.5307,52.76,24.8929,104.847,61.01,38.99
8d 6c 4c,100,49.18,20.2629,91.5542,50.82,23.2371,101.615,44.73,55.27
8d 6c 5c,100,49.87,20.8759,93.0328,50.13,22.6241,100.281,38.25,61.75
8d 7c 2c,100,46.93,18.3054,86.6761,53.07,25.1945,105.502,62.15,37.85
8d 7c 3c,100,47.02,18.2256,86.1375,52.98,25.2744,106.011,64.26,35.74
8d 7c 4c,100,49.24,20.548,92.7351,50.76,22.952,100.48,37.46,62.54
8d 7c 5c,100,49.78,20.7225,92.5055,50.22,22.7775,100.791,39.28,60.72
8d 7c 6c,100,50.30,21.1389,93.3876,49.70,22.3611,99.9854,29.34,70.66
8h 8d 2c,100,42.86,17.2351,89.3643,57.14,26.2648,102.144,60.69,39.31
8h 8d 3c,100,42.89,17.0772,88.4807,57.11,26.4228,102.814,64.34,35.66
8h 8d 4c,100,44.24,17.7373,89.0945,55.76,25.7627,102.675,60.40,39.60
8h 8d 5c,100,44.85,17.8522,88.4529,55.15,25.6478,103.347,62.63,37.37
8h 8d 6c,100,44.99,17.8791,88.305,55.01,25.6209,103.506,61.85,38.15
8h 8d 7c,100,45.04,18.2668,90.1244,54.96,25.2332,102.028,53.37,46.63
8h 2d 2c,100,42.69,15.2704,79.4991,57.31,28.2296,109.452,91.61,8.39
8h 3d 3c,100,42.82,15.5866,80.8799,57.18,27.9134,108.491,86.11,13.89
8h 3d 2c,100,44.84,17.6683,87.5535,55.16,25.8317,104.076,62.95,37.05
8h 4d 4c,100,44.82,18.4532,91.4908,55.18,25.0468,100.871,46.54,53.46
8h 4d 2c,100,46.38,18.8666,90.3922,53.62,24.6334,102.094,51.26,48.74
8h 4d 3c,100,46.44,18.6692,89.3343,53.56,24.8308,103.024,55.04,44.96
8h 5d 5c,100,45.63,19.1407,93.2078,54.37,24.3593,99.57,41.27,58.73
8h 5d 2c,100,46.98,19.1058,90.3696,53.02,24.3942,102.246,52.05,47.95
8h 5d 3c,100,47.02,18.9382,89.5091,52.98,24.5618,103.018,55.10,44.90
8h 5d 4c,100,49.42,21.5037,96.6891,50.58,21.9962,96.6446,26.12,73.88
8h 6d 6c,100,45.45,18.5132,90.5129,54.55,24.9867,101.794,49.56,50.44
8h 6d 2c,100,47.24,18.8964,88.8893,52.76,24.6036,103.63,54.82,45.18
8h 6d 3c,100,47.11,18.9013,89.1607,52.89,24.5987,103.352,54.24,45.76
8h 6d 4c,100,49.32,20.9777,94.5249,50.68,22.5223,98.7506,34.67,65.33
8h 6d 5c,100,50.20,21.7932,96.4813,49.80,21.7067,96.853,26.11,73.89
8h 7d 7c,100,45.31,18.6197,91.3252,54.69,24.8803,101.092,45.52,54.48
8h 7d 2c,100,46.87,18.6824,88.5743,53.13,24.8176,103.806,54.23,45.77
8h 7d 3c,100,47.00,18.6097,87.992,53.00,24.8903,104.359,56.23,43.77
8h 7d 4c,100,49.30,21.2179,95.6322,50.70,22.2821,97.6727,27.60,72.40
8h 7d 5c,100,49.87,21.3054,94.9449,50.13,22.1946,98.3788,30.94,69.06
8h 7d 6c,100,50.52,21.8917,96.3045,49.48,21.6082,97.0363,16.45,83.55
9c 2d 2c,100,42.49,15.1844,79.4145,57.51,28.3156,109.413,94.27,5.73
9c 3c 2c,100,45.16,17.1007,84.142,54.84,26.3993,106.982,86.49,13.51
9c 3c 2d,100,44.50,17.0239,85.0175,55.50,26.4761,106.006,74.27,25.73
9c 3d 3c,100,42.70,15.4493,80.3938,57.30,28.0506,108.795,90.75,9.25
9c 3d 2c,100,44.52,17.0616,85.1608,55.48,26.4383,105.9,73.89,26.11
9c 4c 2c,100,45.67,16.8888,82.1698,54.33,26.6112,108.854,94.02,5.98
9c 4c 2d,100,45.45,17.1461,83.8323,54.55,26.3539,107.36,75.99,24.01
9c 4c 3c,100,46.02,16.878,81.508,53.98,26.622,109.588,95.25,4.75
9c 4c 3d,100,46.06,17.5978,84.8981,53.94,25.9022,106.717,72.02,27.98
9c 4d 4c,100,44.49,17.8574,89.1917,55.51,25.6426,102.658,52.04,47.96
9c 4d 2c,100,45.57,17.3399,84.5641,54.43,26.1601,106.798,73.64,26.36
9c 4d 3c,100,46.16,17.7514,85.4661,53.84,25.7485,106.268,69.94,30.06
9c 5c 2c,100,46.34,17.5085,83.9572,53.66,25.9915,107.643,82.91,17.09
9c 5c 2d,100,46.10,17.862,86.0991,53.90,25.638,105.706,67.02,32.98
9c 5c 3c,100,46.65,17.533,83.5208,53.35,25.9669,108.161,86.01,13.99
9c 5c 3d,100,46.64,18.2651,87.0333,53.36,25.2348,105.085,63.41,36.59
9c 5c 4c,100,46.83,17.0556,80.927,53.17,26.4444,110.531,95.95,4.05
9c 5c 4d,100,47.57,18.5956,86.8672,52.43,24.9044,105.558,62.27,37.73
9c 5d 5c,100,45.16,18.5984,91.5249,54.84,24.9016,100.9,42.91,57.09
9c 5d 2c,100,46.01,17.6617,85.3019,53.99,25.8383,106.352,70.36,29.64
9c 5d 3c,100,46.52,18.0348,86.1432,53.48,25.4652,105.822,66.98,33.02
9c 5d 4c,100,47.37,18.2348,85.543,52.63,25.2652,106.678,67.68,32.32
9c 6c 2c,100,46.25,17.1163,82.2323,53.75,26.3837,109.089,89.54,10.46
