Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 152 freq,CHECK freq
8c 4c 3d,100,51.08,110.342,93.9293,48.92,118.158,105.005,52.03,47.97
8c 4d 4c,100,52.37,122.412,101.626,47.63,106.088,96.8432,60.77,39.23
8c 4d 2c,100,51.30,114.805,97.3059,48.70,113.695,101.499,54.60,45.40
8c 4d 3c,100,50.99,109.36,93.2428,49.01,119.14,105.701,51.44,48.56
8c 5c 2c,100,51.46,112.954,95.4303,48.54,115.546,103.501,13.85,86.15
8c 5c 2d,100,50.96,112.721,96.1779,49.04,115.779,102.641,53.30,46.70
8c 5c 3c,100,51.15,110.001,93.5038,48.85,118.499,105.467,7.33,92.67
8c 5c 3d,100,50.67,107.576,92.3094,49.33,120.924,106.577,49.97,50.03
8c 5c 4c,100,50.11,104.905,91.0158,49.89,123.594,107.718,0.66,99.34
8c 5c 4d,100,49.47,96.3313,84.6624,50.53,132.169,113.725,36.82,63.18
8c 5d 5c,100,51.85,115.363,96.737,48.15,113.137,102.159,57.83,42.17
8c 5d 2c,100,50.85,111.383,95.2386,49.15,117.117,103.598,52.50,47.50
8c 5d 3c,100,50.53,106.106,91.2894,49.47,122.394,107.58,47.95,52.05
8c 5d 4c,100,49.43,95.9761,84.4217,50.57,132.524,113.936,35.92,64.08
8c 6c 2c,100,51.45,113.26,95.7206,48.55,115.24,103.191,10.69,89.31
8c 6c 2d,100,50.99,113.629,96.8888,49.01,114.871,101.907,55.95,44.05
8c 6c 3c,100,51.18,110.605,93.97,48.82,117.894,104.985,3.75,96.25
8c 6c 3d,100,50.76,108.925,93.2974,49.24,119.575,105.585,51.11,48.89
8c 6c 4c,100,51.03,111.285,94.8142,48.97,117.215,104.073,9.37,90.63
8c 6c 4d,100,50.26,106.981,92.5525,49.74,121.519,106.214,48.47,51.53
8c 6c 5c,100,50.45,107.817,92.921,49.55,120.683,105.891,2.73,97.27
8c 6c 5d,100,49.67,99.961,87.5068,50.33,128.539,111.032,40.08,59.92
8c 6d 6c,100,52.40,120.291,99.816,47.60,108.209,98.8328,65.61,34.39
8c 6d 2c,100,50.91,112.606,96.1747,49.09,115.893,102.638,54.60,45.40
8c 6d 3c,100,50.65,107.755,92.4961,49.35,120.745,106.38,49.18,50.82
8c 6d 4c,100,50.24,106.715,92.36,49.76,121.785,106.402,48.52,51.48
8c 6d 5c,100,49.70,100.28,87.7222,50.30,128.22,110.836,40.59,59.41
8c 7c 2c,100,51.39,110.88,93.8144,48.61,117.62,105.197,4.85,95.15
8c 7c 2d,100,51.18,111.118,94.3952,48.82,117.382,104.54,56.45,43.55
8c 7c 3c,100,51.10,108.299,92.1447,48.90,120.201,106.875,0.72,99.28
8c 7c 3d,100,50.93,106.451,90.878,49.07,122.049,108.138,50.68,49.32
