Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12 RAISE 50
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 975 freq,CALL freq,FOLD freq
8c 6c 3d,10.1072,52.67,86.4666,146.569,47.33,24.0334,68.6236,0.00,66.60,33.40
8c 6c 4c,6.86298,55.99,87.78,139.972,44.01,22.72,69.7685,0.00,59.10,40.90
8c 6c 4d,6.38987,53.04,86.4002,145.455,46.96,24.0998,69.3447,0.00,67.33,32.67
8c 6c 5c,6.08835,56.60,87.7479,138.415,43.40,22.7522,70.8477,0.00,58.52,41.48
8c 6c 5d,4.99567,54.10,86.2596,142.35,45.90,24.2404,71.373,0.00,67.01,32.99
8c 6d 6c,13.9046,53.23,86.2697,144.697,46.77,24.2303,70.0144,0.00,64.96,35.04
8c 6d 2c,9.85792,52.36,86.3707,147.288,47.64,24.1293,68.442,0.00,66.81,33.19
8c 6d 3c,10.5994,52.88,86.503,146.052,47.12,23.997,68.8235,0.00,66.72,33.28
8c 6d 4c,6.83776,53.06,86.5266,145.591,46.94,23.9734,69.0221,0.00,67.45,32.55
8c 6d 5c,4.7605,54.16,86.2529,142.19,45.84,24.2471,71.4812,0.00,67.02,32.98
8c 7c 2c,7.50135,55.39,87.841,141.603,44.61,22.659,68.6352,0.00,57.22,42.78
8c 7c 2d,10.4415,53.49,86.27,143.998,46.51,24.23,70.4033,0.00,66.12,33.88
8c 7c 3c,7.98025,55.51,87.7522,141.144,44.49,22.7478,69.0964,0.00,57.78,42.22
8c 7c 3d,10.5499,53.70,86.3956,143.653,46.30,24.1044,70.3505,0.00,66.43,33.57
8c 7c 4c,8.46027,55.45,86.8156,139.803,44.56,23.6844,71.8346,0.00,59.25,40.75
8c 7c 4d,8.06221,53.65,86.2754,143.575,46.35,24.2246,70.6317,0.00,68.48,31.52
8c 7c 5c,5.98746,56.32,87.1976,138.249,43.69,23.3024,72.0835,0.00,58.75,41.25
8c 7c 5d,6.08048,54.79,86.3381,140.695,45.21,24.1619,72.2222,0.00,67.38,32.62
8c 7c 6c,6.88396,54.92,84.9855,138.155,45.08,25.5145,76.4906,0.00,58.92,41.08
