Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
8c 7d 3c,0.00032,71.01,1027.03,132.683,28.99,35.7319,68.4813,20.05,79.95
8c 7d 4c,0.00137,64.00,1022.15,146.523,36.00,34.5405,53.3033,26.71,73.29
8c 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 8c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 6c 5c,0,73.52,1038.46,129.582,26.48,19.341,40.5814,25.49,74.51
8d 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 4c,0.00004,57.86,1023.46,162.281,42.14,32.4009,42.7155,27.63,72.37
8d 7c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 3d 3c,0.00007,90.47,1144.36,116.047,9.53,-83.7982,-488.482,22.46,77.54
8h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 5c,0.00008,88.26,1128.84,117.343,11.74,-62.1879,-294.194,15.77,84.23
8h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 4c,0.00001,88.04,1180.5,123.012,11.96,-123.417,-573.462,26.28,73.72
8h 6d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 2d 2c,0.00004,88.30,1156.38,120.145,11.70,-91.8222,-436.109,18.07,81.93
9c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 3d 3c,0.00019,87.80,1145.03,119.647,12.20,-79.622,-362.594,17.14,82.86
9c 3d 2c,0.00529,69.70,1026.37,135.099,30.30,37.232,68.2633,19.11,80.89
9c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 3d,0.00568,66.96,1021.1,139.901,33.04,41.5181,69.8146,20.20,79.80
9c 4d 4c,0.00011,88.10,1146.49,119.387,11.90,-79.5404,-371.396,15.44,84.56
9c 4d 2c,0.00125,69.71,1027.78,135.267,30.29,35.7147,65.5006,19.24,80.76
9c 4d 3c,0.00229,69.63,1028.02,135.45,30.37,35.2625,64.5044,19.47,80.53
9c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 3d,0,65.53,1026.91,143.772,34.47,38.9534,62.7791,16.64,83.36
