Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
8c 4c 3c,0.00848,42.59,252.812,111.166,57.41,1007.68,139.079,49.89,50.11
8c 4c 3d,1.23706,45.99,269.083,109.578,54.01,991.415,145.44,49.82,50.18
8c 4d 4c,0.00064,49.60,363.185,137.116,50.40,897.316,141.082,48.97,51.03
8c 4d 2c,1.15787,46.40,273.182,110.252,53.60,987.316,145.962,49.61,50.39
8c 4d 3c,1.41677,44.73,246.388,103.151,55.27,1014.11,145.394,49.66,50.34
8c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 2d,0.46411,45.90,267.216,109.012,54.10,993.285,145.495,50.06,49.94
8c 5c 3c,0.00073,50.55,361.292,133.831,49.45,899.207,144.102,54.55,45.45
8c 5c 3d,0.59166,45.70,267.666,109.672,54.30,992.834,144.895,50.02,49.98
8c 5c 4c,0.00259,38.86,235.233,113.345,61.14,1025.27,132.888,51.49,48.51
8c 5c 4d,0.46245,42.70,219.878,96.4209,57.30,1040.62,143.917,49.96,50.04
8c 5d 5c,0.05015,43.23,242.562,105.07,56.77,1017.94,142.089,46.66,53.34
8c 5d 2c,0.59138,44.04,236.938,100.744,55.96,1023.56,144.943,49.23,50.77
8c 5d 3c,0.92276,43.38,229.573,99.1117,56.62,1030.93,144.268,49.55,50.45
8c 5d 4c,0.51559,43.00,221.971,96.6742,57.00,1038.53,144.366,50.15,49.85
8c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 2d,0.1374,42.76,223.006,97.6727,57.24,1037.49,143.615,49.66,50.34
8c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3d,0.6819,43.15,231.81,100.602,56.85,1028.69,143.382,49.66,50.34
8c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 4d,0.89982,46.01,258.373,105.167,53.99,1002.12,147.072,51.14,48.86
8c 6c 5c,0.00577,34.40,160.395,87.3161,65.60,1100.1,132.884,49.62,50.38
8c 6c 5d,1.77383,45.89,258.721,105.587,54.11,1001.78,146.689,51.72,48.28
8c 6d 6c,0.29732,47.79,276.227,108.231,52.21,984.275,149.397,48.67,51.33
8c 6d 2c,0.32344,42.71,223.199,97.8692,57.29,1037.3,143.465,49.50,50.50
8c 6d 3c,0.82752,43.07,229.5,99.7938,56.93,1031,143.492,49.11,50.89
8c 6d 4c,0.93177,46.18,262.28,106.356,53.82,998.219,146.97,51.24,48.76
8c 6d 5c,2.16587,46.66,273.257,109.676,53.34,987.244,146.652,51.81,48.19
8c 7c 2c,0.00901,36.02,197.943,102.902,63.98,1062.56,131.603,48.20,51.80
8c 7c 2d,1.31425,45.17,238.217,98.7627,54.83,1022.28,147.735,47.73,52.27
8c 7c 3c,0.00285,39.04,240.139,115.186,60.96,1020.36,132.634,45.28,54.72
8c 7c 3d,1.78591,45.22,238.076,98.5878,54.78,1022.43,147.9,48.72,51.28
8c 7c 4c,0.02594,38.44,218.757,106.568,61.56,1041.74,134.093,52.21,47.79
8c 7c 4d,1.5671,45.65,241.48,99.0705,54.35,1019.02,148.555,50.70,49.30
8c 7c 5c,0.06101,40.32,216.847,100.709,59.68,1043.66,138.574,51.58,48.42
8c 7c 5d,3.40547,44.86,234.842,98.0393,55.14,1025.66,147.385,51.49,48.51
8c 7c 6c,0.00006,37.53,172.096,85.8825,62.47,1088.4,138.048,46.92,53.08
8c 7c 6d,0.57009,45.04,258.748,107.571,54.96,1001.76,144.442,50.80,49.20
8c 7d 7c,5.97737,47.88,265.999,104.045,52.12,994.502,151.185,50.05,49.95
8c 7d 2c,1.49042,45.57,242.694,99.7255,54.43,1017.8,148.18,47.73,52.27
8c 7d 3c,1.97494,45.46,240.987,99.2725,54.54,1019.51,148.121,48.70,51.30
8c 7d 4c,1.82228,45.79,244.163,99.8444,54.21,1016.34,148.572,50.49,49.51
8c 7d 5c,3.52535,45.04,237.132,98.5873,54.96,1023.37,147.554,51.07,48.93
8c 7d 6c,0.78698,44.51,249.396,104.925,55.49,1011.1,144.388,50.89,49.11
8d 8c 2c,0.95077,44.84,252.407,105.405,55.16,1008.09,144.824,49.82,50.18
8d 8c 3c,1.29498,44.40,245.993,103.748,55.60,1014.51,144.589,49.91,50.09
8d 8c 4c,0.32482,44.82,248.015,103.634,55.18,1012.49,145.386,49.40,50.60
8d 8c 5c,0.39277,45.03,248.549,103.358,54.97,1011.95,145.878,50.00,50.00
8d 8c 6c,0.832,45.92,259.521,105.835,54.08,1000.98,146.666,50.07,49.93
8d 8c 7c,5.18103,46.90,251.55,100.441,53.10,1008.95,150.563,51.72,48.28
8h 8d 8c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 3c 2c,1.60505,42.63,216.309,95.0153,57.37,1044.19,144.23,50.05,49.95
8d 4c 2c,1.06499,45.23,254.468,105.366,54.77,1006.03,145.539,48.75,51.25
8d 4c 3c,1.56868,43.98,234.042,99.6466,56.02,1026.46,145.199,49.46,50.54
8d 5c 2c,0.44907,44.26,242.273,102.496,55.74,1018.23,144.762,49.16,50.84
8d 5c 3c,1.17949,43.55,232.127,99.8112,56.45,1028.37,144.358,49.19,50.81
8d 5c 4c,0.55098,42.41,214.888,94.8866,57.59,1045.61,143.867,49.95,50.05
8d 6c 2c,0.60392,42.88,228.032,99.5891,57.12,1032.47,143.225,49.04,50.96
8d 6c 3c,1.07564,43.02,226.9,98.7668,56.98,1033.6,143.74,48.96,51.04
8d 6c 4c,0.86752,45.58,251.895,103.482,54.42,1008.61,146.87,51.14,48.86
8d 6c 5c,1.54101,45.17,247.097,102.443,54.83,1013.4,146.454,51.66,48.34
8d 7c 2c,2.20905,45.50,241.979,99.5974,54.50,1018.52,148.079,48.33,51.67
8d 7c 3c,2.50037,45.38,238,98.2066,54.62,1022.5,148.346,49.48,50.52
8d 7c 4c,1.68555,45.57,240.413,98.7996,54.43,1020.09,148.499,50.47,49.53
8d 7c 5c,3.27154,44.97,235.415,98.0378,55.03,1025.09,147.598,51.23,48.77
8d 7c 6c,0.45077,44.41,248.755,104.892,55.59,1011.74,144.218,50.42,49.58
8h 8d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 6c,1.17864,52.90,343.19,121.5,47.11,917.309,154.308,50.10,49.90
