Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
8c 6c 5d,5.47438,54.82,79.6963,142.532,45.18,20.8037,68.7232,0.00,64.94,35.06
8c 6d 6c,10.106,53.03,77.2574,142.822,46.97,23.2425,73.8611,0.00,63.34,36.66
8c 6d 2c,11.2631,52.64,77.9287,145.132,47.36,22.5713,71.136,0.00,66.06,33.94
8c 6d 3c,11.2078,52.45,77.9483,145.703,47.55,22.5517,70.7858,0.00,65.91,34.09
8c 6d 4c,6.81477,53.52,79.1547,144.997,46.48,21.3453,68.5428,0.00,65.61,34.39
8c 6d 5c,5.47129,54.90,79.6845,142.289,45.10,20.8155,68.8927,0.00,65.02,34.98
8c 7c 2c,8.47308,52.97,80.6151,149.201,47.03,19.8849,63.109,0.00,56.89,43.11
8c 7c 2d,11.2324,52.63,77.3232,144.028,47.37,23.1768,73.0312,0.00,65.46,34.54
8c 7c 3c,8.50023,52.78,80.3874,149.315,47.22,20.1126,63.5749,0.00,57.09,42.91
8c 7c 3d,11.2926,52.57,77.3471,144.25,47.43,23.1528,72.8561,0.00,65.50,34.50
8c 7c 4c,5.9039,53.74,81.0064,147.793,46.26,19.4936,62.889,0.00,58.23,41.77
8c 7c 4d,5.64754,52.91,78.0969,144.705,47.09,22.4032,71.0099,0.00,65.39,34.61
8c 7c 5c,5.85391,56.40,82.3334,143.123,43.60,18.1666,62.1863,0.00,57.72,42.28
8c 7c 5d,6.32801,54.92,79.01,141.042,45.08,21.49,71.1513,0.00,65.09,34.91
8c 7c 6c,6.30198,56.38,79.7454,138.68,43.62,20.7546,71.0087,0.00,57.96,42.04
8c 7c 6d,4.15878,55.76,77.9265,137.014,44.24,22.5735,76.1561,0.00,65.45,34.55
8c 7d 7c,10.8686,52.98,77.0827,142.632,47.02,23.4173,74.3381,0.00,63.75,36.25
8c 7d 2c,11.2678,52.88,77.3483,143.404,47.12,23.1517,73.3335,0.00,65.45,34.55
8c 7d 3c,11.4089,52.81,77.3498,143.605,47.19,23.1502,73.2147,0.00,65.50,34.50
8c 7d 4c,5.6815,53.04,78.0503,144.272,46.96,22.4497,71.3499,0.00,65.32,34.68
8c 7d 5c,5.96995,55.13,79.028,140.549,44.87,21.472,71.4167,0.01,65.14,34.86
8c 7d 6c,3.88762,55.80,77.7844,136.66,44.20,22.7156,76.709,0.00,65.50,34.50
8d 8c 2c,13.2631,51.53,79.1554,150.584,48.47,21.3446,65.733,0.00,63.71,36.29
8d 8c 3c,14.3291,51.68,78.9568,149.78,48.32,21.5431,66.546,0.00,63.68,36.32
8d 8c 4c,12.3128,51.61,78.3534,148.832,48.39,22.1466,68.3131,0.00,63.59,36.41
8d 8c 5c,12.7306,52.29,77.7622,145.784,47.71,22.7378,71.1392,0.00,63.13,36.87
8d 8c 6c,12.5942,52.65,77.8484,144.968,47.35,22.6516,71.3973,0.00,63.21,36.79
8d 8c 7c,12.8313,52.84,77.4729,143.736,47.16,23.027,72.881,0.00,63.40,36.60
8h 8d 8c,13.7295,52.87,85.2271,158.046,47.13,15.2729,48.3652,0.00,67.07,32.93
8d 3c 2c,14.4459,52.68,78.1332,145.404,47.32,22.3668,70.5503,0.00,66.15,33.85
8d 4c 2c,11.6897,52.58,78.442,146.252,47.42,22.0581,69.432,0.00,65.96,34.04
8d 4c 3c,12.1055,52.58,78.4555,146.277,47.42,22.0445,69.3891,0.00,65.84,34.16
