Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 15 freq,CHECK freq
8d 7c 3c,65.665,50.47,22.6218,74.7099,49.53,29.4051,98.9387,50.47,49.53
8d 7c 4c,88.2726,50.60,22.8455,75.245,49.40,29.0612,98.0522,52.88,47.12
8d 7c 5c,79.6645,50.43,22.7721,75.2665,49.57,29.2758,98.4238,51.27,48.73
8d 7c 6c,71.8041,50.08,22.7304,75.6469,49.92,29.6265,98.9135,48.67,51.33
8h 8d 2c,47.5778,53.59,22.9544,71.3908,46.41,29.0374,104.275,62.47,37.53
8h 8d 3c,49.1316,53.58,22.9645,71.4298,46.42,29.0187,104.196,62.86,37.14
8h 8d 4c,56.9597,53.54,23.1945,72.2065,46.46,28.763,103.176,62.09,37.91
8h 8d 5c,64.668,53.09,23.1963,72.8213,46.91,28.759,102.177,62.04,37.96
8h 8d 6c,66.0167,53.07,23.1974,72.8496,46.93,28.7565,102.129,63.10,36.90
8h 8d 7c,68.8943,52.46,23.3736,74.263,47.54,28.6322,100.373,61.35,38.65
8h 2d 2c,68.5912,53.58,23.3687,72.6916,46.42,28.6601,102.901,59.30,40.70
8h 3d 3c,75.5628,53.86,23.7146,73.3853,46.14,28.3364,102.354,60.16,39.84
8h 3d 2c,66.2775,51.67,22.4618,72.4476,48.33,29.318,101.112,52.51,47.49
8h 4d 4c,66.2036,53.63,23.7547,73.8292,46.37,28.2527,101.538,58.76,41.24
8h 4d 2c,75.6024,51.85,22.4197,72.0594,48.15,29.2466,101.244,52.07,47.93
8h 4d 3c,76.8524,51.80,22.4621,72.2681,48.20,29.226,101.064,51.67,48.33
8h 5d 5c,75.7993,53.17,23.4471,73.4957,46.83,28.5482,101.605,61.24,38.76
8h 5d 2c,76.4271,51.45,22.332,72.3416,48.55,29.25,100.413,51.99,48.01
8h 5d 3c,79.1699,51.47,22.3618,72.4078,48.53,29.2097,100.319,52.92,47.08
8h 5d 4c,99.9933,51.09,21.225,69.2361,48.91,30.1629,102.791,63.62,36.38
8h 6d 6c,82.7379,53.40,23.5619,73.5459,46.60,28.4043,101.579,61.92,38.08
8h 6d 2c,86.2035,51.83,22.678,72.9188,48.17,28.897,99.9908,53.78,46.22
8h 6d 3c,86.7006,51.76,22.6132,72.8088,48.24,28.9657,100.083,53.95,46.05
8h 6d 4c,99.8816,51.28,22.1516,71.9913,48.72,29.4082,100.61,58.17,41.83
8h 6d 5c,99.9988,50.68,21.2132,69.767,49.32,30.2766,102.305,68.18,31.82
8h 7d 7c,95.2052,52.88,23.5611,74.2667,47.12,28.4578,100.647,63.31,36.69
8h 7d 2c,70.3591,50.87,22.6669,74.269,49.13,29.0588,98.5713,51.81,48.19
8h 7d 3c,71.2162,50.76,22.5448,74.0258,49.24,29.1591,98.6951,51.79,48.21
8h 7d 4c,96.7094,50.87,22.7664,74.5957,49.13,28.8621,97.9034,54.47,45.53
8h 7d 5c,81.8742,50.53,22.6662,74.765,49.47,29.121,98.1057,52.49,47.51
8h 7d 6c,80.236,50.34,23.0722,76.3834,49.66,29.1628,97.8807,48.42,51.58
9c 2d 2c,54.3467,54.73,24.9469,75.9636,45.27,27.6206,101.698,58.48,41.52
9c 3c 2c,15.5386,51.18,24.2621,79.013,48.82,28.902,98.6631,48.22,51.78
9c 3c 2d,43.5792,52.52,23.2618,73.8171,47.48,28.8776,101.371,55.55,44.45
9c 3d 3c,63.2058,55.04,25.0482,75.8465,44.96,27.4852,101.891,59.36,40.64
9c 3d 2c,40.7083,52.47,23.2493,73.8427,47.53,28.9047,101.366,55.28,44.72
9c 4c 2c,22.1795,51.65,24.4862,79.0185,48.35,28.6675,98.812,48.51,51.49
