Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 60 freq,CALL freq,FOLD freq
8d 6c 5c,0.32227,54.72,46.3218,112.862,45.28,18.2463,67.1672,13.97,74.78,11.25
8d 7c 2c,36.9167,55.17,45.5041,109.983,44.83,19.5191,72.5596,8.60,78.47,12.93
8d 7c 3c,34.335,55.11,45.5329,110.166,44.89,19.4437,72.1874,8.34,79.24,12.42
8d 7c 4c,11.7274,54.72,45.6645,111.276,45.28,19.069,70.1829,11.22,76.44,12.34
8d 7c 5c,20.3355,55.01,45.5094,110.298,44.99,19.4597,72.0952,9.70,77.46,12.84
8d 7c 6c,28.1959,55.08,45.8038,110.87,44.92,19.5387,72.501,7.86,78.82,13.31
8h 8d 2c,52.4222,56.40,45.1597,106.756,43.60,20.2513,77.4177,20.45,66.78,12.77
8h 8d 3c,50.8684,56.38,45.0954,106.638,43.62,20.3312,77.6911,20.86,66.03,13.11
8h 8d 4c,43.0403,56.43,45.1041,106.572,43.57,20.2864,77.6017,20.59,66.09,13.32
8h 8d 5c,35.332,56.23,45.0881,106.922,43.77,20.3091,77.3249,19.70,67.34,12.96
8h 8d 6c,33.9833,56.43,44.9047,106.101,43.57,20.5161,78.4797,19.23,67.39,13.37
8h 8d 7c,31.1057,55.74,44.7675,107.091,44.26,20.776,78.2306,16.37,70.62,13.00
8h 2d 2c,31.4088,56.92,45.9215,107.564,43.08,19.1691,74.1664,20.21,65.07,14.73
8h 3d 3c,24.4372,56.82,46.0699,108.102,43.18,19.1524,73.9291,21.06,63.49,15.45
8h 3d 2c,33.7225,55.96,45.6474,108.755,44.04,18.9289,71.6418,12.33,78.54,9.13
8h 4d 4c,33.7964,56.70,45.9426,108.044,43.30,19.2936,74.2574,18.59,67.79,13.62
8h 4d 2c,24.3976,56.07,45.6236,108.495,43.93,18.7681,71.2021,11.36,81.62,7.02
8h 4d 3c,23.1475,56.18,45.7197,108.501,43.82,18.7023,71.1391,10.99,82.45,6.56
8h 5d 5c,24.2007,56.30,45.542,107.855,43.70,19.8529,75.7177,18.58,68.08,13.34
