Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\AdKc2c.cfr
Action Line,Root BET 152 RAISE 366
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 580 freq,CALL freq,FOLD freq
8c 7c 3c,0.01981,35.65,179.528,94.3121,64.35,566.967,117.784,42.43,6.50,2.71,48.36
8c 7c 3d,1.58933,46.07,261.31,106.229,53.93,485.189,120.265,25.74,20.99,6.64,46.63
8c 7c 4c,0.105,37.52,190.835,95.2479,62.48,555.667,118.897,48.73,1.15,2.47,47.65
8c 7c 4d,0.5835,45.77,250.17,102.359,54.23,496.329,122.354,26.35,21.10,4.95,47.59
8c 7c 5c,0.17812,39.88,213.376,100.185,60.12,533.124,118.559,47.31,2.46,5.08,45.15
8c 7c 5d,1.05482,44.34,229.416,96.9015,55.66,517.083,124.188,31.84,16.32,6.19,45.65
8c 7c 6c,0.0004,36.00,144.891,75.3619,64.00,601.61,125.679,25.01,7.05,7.22,60.72
8c 7c 6d,1.11518,42.21,202.841,89.9958,57.79,543.66,125.764,34.90,14.78,2.15,48.16
8c 7d 7c,1.1035,45.49,240.201,98.8741,54.51,506.299,124.181,32.85,15.54,5.31,46.29
8c 7d 2c,3.23555,46.31,262.851,106.29,53.69,483.65,120.431,25.94,20.49,6.53,47.04
8c 7d 3c,1.63049,45.90,253.482,103.415,54.10,493.019,121.835,25.58,21.14,6.20,47.08
8c 7d 4c,0.62387,47.05,267.503,106.461,52.95,478.999,120.948,26.55,21.02,5.17,47.26
8c 7d 5c,1.46525,44.56,233.018,97.9164,55.44,513.482,123.833,30.59,17.15,7.15,45.10
8c 7d 6c,1.33806,42.37,205.49,90.8233,57.63,541.009,125.502,34.45,14.91,2.67,47.97
8d 8c 2c,2.07871,47.21,277.624,110.124,52.79,468.876,118.742,25.71,21.61,4.15,48.53
8d 8c 3c,0.84619,44.91,256.026,106.763,55.09,490.473,119.021,25.36,21.73,5.67,47.24
