Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK BET 115
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 230 freq,CALL freq,FOLD freq
7h 6d 5c,0.00143,50.25,85.9909,74.4047,49.75,257.509,150.027,1.80,37.86,14.79,45.55
8c 2d 2c,12.9295,49.96,71.1034,61.8816,50.04,272.397,157.777,2.75,15.77,46.44,35.04
8c 3c 2c,0.00018,31.99,23.8749,32.4487,68.01,319.624,136.22,0.04,20.30,39.23,40.43
8c 3c 2d,2.07725,49.71,70.3602,61.5387,50.29,273.14,157.431,4.71,15.42,40.87,39.00
8c 3d 3c,12.0767,49.96,70.7541,61.5789,50.04,272.746,157.976,2.18,16.54,46.56,34.73
8c 3d 2c,2.01869,49.64,71.3917,62.5289,50.36,272.108,156.619,4.64,15.80,40.36,39.20
8c 4c 2c,0.00072,37.06,35.6326,41.7996,62.94,307.864,141.787,0.09,22.21,36.97,40.73
8c 4c 2d,3.56942,49.27,66.4808,58.6674,50.73,277.019,158.275,5.99,11.02,43.81,39.18
8c 4c 3c,0.00056,12.63,-104.547,-359.806,87.37,448.046,148.647,0.04,22.78,33.66,43.52
8c 4c 3d,1.72025,49.35,67.1035,59.1214,50.65,276.397,158.169,4.34,15.67,39.59,40.40
8c 4d 4c,4.12708,49.08,70.1484,62.1451,50.92,273.351,155.594,0.84,17.66,43.98,37.52
8c 4d 2c,2.73257,49.38,68.8364,60.6116,50.62,274.664,157.269,4.92,13.90,41.25,39.92
8c 4d 3c,0.71731,49.61,72.6482,63.6643,50.39,270.852,155.812,3.88,17.21,38.00,40.91
8c 5c 2c,0.00054,29.69,-10.3633,-15.1741,70.31,353.862,145.888,0.04,23.55,34.36,42.04
8c 5c 2d,2.45444,48.95,66.3131,58.8991,51.05,277.187,157.387,4.35,15.10,39.50,41.05
8c 5c 3c,0.00159,33.62,11.7559,15.2034,66.38,331.742,144.857,0.07,22.51,35.24,42.17
8c 5c 3d,0.76127,49.09,68.7662,60.9108,50.91,274.734,156.405,3.22,19.80,34.94,42.04
8c 5c 4c,0.00038,38.48,82.2732,92.9481,61.52,261.229,123.088,0.12,21.11,36.60,42.18
8c 5c 4d,0.04097,47.92,68.096,61.7805,52.08,275.405,153.287,0.74,26.73,31.66,40.87
8c 5d 5c,1.56605,49.06,67.9861,60.2544,50.94,275.514,156.763,0.48,21.18,38.73,39.60
8c 5d 2c,1.1627,49.10,71.5377,63.3503,50.90,271.962,154.864,3.17,18.45,36.36,42.02
8c 5d 3c,0.07428,48.02,62.094,56.2193,51.98,281.406,156.925,2.38,22.68,31.62,43.31
8c 5d 4c,0.00725,45.86,49.4835,46.9131,54.14,294.017,157.412,0.44,25.89,31.70,41.98
8c 6c 2c,0.00072,28.71,7.00569,10.6081,71.29,336.503,136.825,0.04,23.54,32.85,43.56
8c 6c 2d,0.24799,49.80,75.3828,65.8115,50.20,268.117,154.816,3.91,19.76,33.26,43.08
8c 6c 3c,0.00143,17.94,-48.8101,-118.313,82.06,392.31,138.567,0.07,22.60,32.31,45.02
8c 6c 3d,0.00767,47.32,69.29,63.6642,52.68,274.21,150.875,3.04,23.76,29.10,44.11
8c 6c 4c,0.00148,20.00,-60.2769,-131.007,80.00,403.778,146.303,0.12,23.60,33.31,42.97
8c 6c 4d,0.02376,48.23,68.6687,61.9017,51.77,274.831,153.88,1.80,23.52,30.81,43.87
8c 6c 5c,0.0009,14.18,-92.0063,-282.064,85.82,435.505,147.095,0.07,21.66,31.96,46.31
8c 6c 5d,0.02171,47.24,68.7174,63.2467,52.76,274.781,150.957,1.30,26.13,27.77,44.80
8c 6d 6c,5.18839,48.96,65.2518,57.9438,51.04,278.248,158.023,0.59,19.80,40.08,39.52
8c 6d 2c,0.00836,45.36,63.267,60.6414,54.64,280.233,148.661,3.51,20.36,31.00,45.13
8c 6d 3c,0.14848,50.24,65.2788,56.4934,49.76,278.221,162.064,2.19,25.83,29.28,42.71
8c 6d 4c,0.02469,46.93,62.7188,58.1021,53.07,280.78,153.363,1.65,23.08,31.69,43.58
8c 6d 5c,0.01977,46.84,56.5385,52.4838,53.16,286.962,156.457,1.89,25.86,27.91,44.34
8c 7c 2c,0.00352,41.16,41.4204,43.752,58.84,302.082,148.813,0.04,24.61,33.47,41.87
8c 7c 2d,2.21968,48.50,62.5913,56.1048,51.49,280.909,158.118,2.64,20.68,32.41,44.27
8c 7c 3c,0.00266,31.74,4.75028,6.50603,68.26,338.744,143.852,0.05,21.71,36.38,41.86
8c 7c 3d,0.0854,46.98,53.3815,49.4078,53.02,290.119,158.591,2.10,22.33,31.81,43.76
8c 7c 4c,0.00104,31.75,12.8738,17.6301,68.25,330.625,140.414,0.03,21.14,36.32,42.51
8c 7c 4d,0.01809,47.05,56.8639,52.5493,52.95,286.637,156.903,1.00,24.75,29.24,45.02
8c 7c 5c,0.00015,12.97,-96.0846,-321.998,87.03,439.581,146.409,0.07,20.70,33.22,46.01
8c 7c 5d,0.01671,47.60,62.08,56.7093,52.40,281.421,155.659,1.91,25.06,27.24,45.79
8c 7c 6c,0.02016,54.80,115.231,91.4221,45.20,228.27,146.387,0.11,21.32,37.08,41.49
8c 7c 6d,4.45419,46.71,58.5485,54.4973,53.29,284.952,154.992,0.53,18.92,42.35,38.20
8c 7d 7c,2.56417,47.27,59.7505,54.9519,52.73,283.75,155.99,0.50,19.84,39.94,39.72
8c 7d 2c,0.39368,49.05,66.6609,59.0837,50.95,276.839,157.507,2.65,20.86,32.83,43.66
8c 7d 3c,1.30837,49.08,64.7539,57.3608,50.92,278.746,158.679,2.09,22.02,32.89,43.00
8c 7d 4c,0.02063,46.50,51.947,48.5761,53.50,291.553,157.946,1.70,23.64,29.36,45.31
