Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 150 freq,CALL freq,FOLD freq
8c 4c 2d,5.00367,56.59,97.106,127.112,43.41,21.9646,56.2177,0.00,4.06,62.46,33.48
8c 4c 3c,2.68305,58.77,99.637,125.589,41.23,22.9991,61.9766,0.00,0.00,57.64,42.36
8c 4c 3d,5.16696,56.80,97.2152,126.785,43.20,21.9182,56.3715,0.00,4.45,61.98,33.57
8c 4d 4c,3.08849,55.99,96.706,127.93,44.01,24.125,60.9143,0.00,5.02,58.91,36.07
8c 4d 2c,4.71587,56.61,97.1414,127.114,43.39,21.9234,56.1379,0.00,4.08,62.49,33.43
8c 4d 3c,4.99034,56.86,97.2275,126.674,43.14,21.9167,56.4421,0.00,4.51,61.99,33.50
8c 5c 2c,2.94896,58.47,99.6343,126.231,41.53,22.9885,61.4995,0.00,0.00,57.74,42.26
8c 5c 2d,5.55012,56.58,97.2572,127.317,43.42,21.8839,56.0069,0.00,3.06,63.23,33.71
8c 5c 3c,3.18428,58.71,99.5799,125.638,41.29,23.0729,62.0901,0.00,0.00,57.74,42.26
8c 5c 3d,5.92179,56.55,97.2849,127.423,43.45,21.9963,56.2547,0.00,3.51,62.33,34.16
8c 5c 4c,5.74713,59.27,99.2547,124.036,40.73,23.4495,63.9777,0.00,0.00,57.93,42.07
8c 5c 4d,7.81163,55.24,95.5604,128.151,44.76,23.9931,59.5546,0.00,8.73,55.13,36.14
8c 5d 5c,4.33851,55.82,96.9039,128.599,44.18,24.4879,61.5825,0.00,2.94,60.46,36.61
8c 5d 2c,5.06758,56.47,97.27,127.591,43.53,21.8087,55.6684,0.00,3.17,63.30,33.53
8c 5d 3c,5.57539,56.51,97.2671,127.506,43.49,21.9648,56.113,0.00,3.82,62.13,34.05
8c 5d 4c,7.6843,55.24,95.4749,128.02,44.76,24.0105,59.6073,0.00,9.10,54.80,36.11
8c 6c 2c,2.23729,58.74,99.8949,125.979,41.26,22.6768,61.0627,0.00,0.00,57.29,42.71
8c 6c 2d,5.63896,56.53,97.2838,127.467,43.47,21.9976,56.232,0.00,3.90,61.53,34.57
8c 6c 3c,2.6489,58.90,99.9606,125.706,41.10,22.5783,61.0437,0.00,0.00,57.49,42.51
8c 6c 3d,5.77039,56.57,97.3794,127.514,43.43,21.9319,56.1088,0.00,3.71,61.75,34.54
8c 6c 4c,4.68906,59.01,99.0909,124.381,40.99,23.5121,63.738,0.00,0.00,57.72,42.28
8c 6c 4d,6.93792,55.28,96.1079,128.784,44.72,23.1938,57.6262,0.00,7.97,56.09,35.94
8c 6c 5c,5.44705,58.69,98.0624,123.77,41.31,24.6542,66.3097,0.00,0.63,57.20,42.16
8c 6c 5d,7.72424,54.88,95.3719,128.732,45.12,24.347,59.9541,0.00,10.20,53.42,36.37
8c 6d 6c,4.65913,55.96,96.6151,127.89,44.04,24.6872,62.2845,0.00,4.45,58.59,36.96
8c 6d 2c,5.40923,56.41,97.2435,127.699,43.59,21.9933,56.058,0.00,4.73,60.65,34.62
8c 6d 3c,5.68481,56.54,97.3945,127.608,43.46,21.8792,55.9314,0.00,4.48,60.91,34.61
8c 6d 4c,7.04602,55.24,95.9269,128.627,44.76,23.3718,58.0211,0.00,8.46,55.47,36.07
8c 6d 5c,8.09368,54.95,95.3323,128.515,45.05,24.4539,60.3107,0.00,10.06,53.51,36.43
8c 7c 2c,1.92323,58.41,100.157,127.012,41.59,22.4436,59.9629,0.00,0.00,57.09,42.91
8c 7c 2d,4.67599,56.60,98.2725,128.608,43.40,21.0439,53.8781,0.00,5.05,59.37,35.58
8c 7c 3c,2.30119,58.57,100.17,126.676,41.43,22.3853,60.0416,0.00,0.00,57.37,42.63
8c 7c 3d,4.94758,56.49,98.1894,128.747,43.51,21.1236,53.9466,0.00,4.98,59.60,35.42
8c 7c 4c,4.09163,58.05,99.6706,127.195,41.96,22.8755,60.5819,0.00,0.00,58.01,41.99
8c 7c 4d,6.50745,54.27,96.6264,131.888,45.73,22.5473,54.7831,0.00,9.69,53.98,36.34
8c 7c 5c,4.34658,58.41,97.9948,124.276,41.59,24.6371,65.819,0.00,1.06,56.78,42.15
8c 7c 5d,6.11658,55.70,97.0443,129.057,44.30,22.517,56.4758,0.00,8.56,54.56,36.88
8c 7c 6c,3.29169,57.81,98.5018,126.206,42.19,24.1497,63.6057,0.00,0.01,57.61,42.38
8c 7c 6d,5.32358,55.89,97.0682,128.641,44.11,23.2353,58.5338,0.00,6.80,56.51,36.69
8c 7d 7c,5.8561,55.33,97.456,130.469,44.67,23.9222,59.5046,0.00,5.40,56.79,37.81
8c 7d 2c,4.57014,56.51,98.1018,128.588,43.49,21.2466,54.2851,0.00,5.86,58.35,35.79
8c 7d 3c,4.95484,56.47,98.0168,128.575,43.53,21.3331,54.4523,0.00,5.96,58.36,35.68
8c 7d 4c,6.6495,54.25,96.3504,131.562,45.75,22.8707,55.5438,0.00,10.35,53.04,36.60
8c 7d 5c,6.45965,55.61,96.6969,128.81,44.39,22.9366,57.4082,0.00,8.95,54.07,36.98
8c 7d 6c,5.35426,55.89,96.994,128.556,44.11,23.3223,58.7454,0.00,6.83,56.47,36.70
8d 8c 2c,2.42359,55.58,95.4302,127.189,44.42,26.4825,66.2398,0.00,7.54,54.55,37.91
8d 8c 3c,2.64266,55.58,95.4701,127.245,44.42,26.437,66.1239,0.00,7.29,54.99,37.72
8d 8c 4c,3.43539,56.00,95.4966,126.313,44.00,26.2512,66.2946,0.00,6.55,56.07,37.37
8d 8c 5c,4.3716,55.75,95.8941,127.423,44.25,25.8824,64.9839,0.00,5.16,57.75,37.09
8d 8c 6c,4.16977,56.11,96.2134,127.022,43.89,25.4743,64.487,0.00,5.76,56.84,37.40
8d 8c 7c,4.4691,55.50,96.914,129.34,44.50,24.5773,61.3712,0.00,6.44,55.73,37.84
