Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\7c5d2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
7h 4d 3c,100,46.73,20.3545,96.7973,53.27,23.1455,96.552,24.40,75.60
7h 5d 5c,100,44.82,18.2695,90.5906,55.18,25.2305,101.601,51.16,48.84
7h 5d 2c,100,45.55,17.9572,87.6007,54.45,25.5428,104.251,62.08,37.92
7h 5d 3c,100,47.19,19.9632,94.0109,52.81,23.5368,99.0394,37.59,62.41
7h 5d 4c,100,48.69,21.4682,97.9862,51.31,22.0318,95.4143,18.95,81.05
7h 6d 6c,100,45.11,18.3137,90.2199,54.89,25.1863,101.964,50.69,49.31
7h 6d 2c,100,46.23,18.2468,87.7078,53.77,25.2531,104.369,59.71,40.29
7h 6d 3c,100,47.52,20.102,94.0023,52.48,23.398,99.0788,35.71,64.29
7h 6d 4c,100,49.18,21.782,98.4135,50.82,21.7179,94.9754,15.10,84.90
7h 6d 5c,100,50.46,22.6614,99.7913,49.54,20.8385,93.4832,4.20,95.80
8c 2d 2c,100,42.20,14.6262,77.0271,57.80,28.8738,111.003,99.90,0.10
8c 3c 2c,100,44.72,16.5033,82.0068,55.28,26.9967,108.526,97.86,2.14
8c 3c 2d,100,44.21,16.7553,84.219,55.79,26.7447,106.531,77.12,22.88
8c 3d 3c,100,42.72,15.564,80.9661,57.28,27.936,108.375,90.23,9.77
8c 3d 2c,100,44.28,16.8774,84.706,55.72,26.6226,106.17,75.39,24.61
8c 4c 2c,100,45.49,17.0643,83.3612,54.51,26.4357,107.77,91.23,8.77
8c 4c 2d,100,45.19,17.9653,88.3372,54.81,25.5347,103.535,60.02,39.98
8c 4c 3c,100,45.51,16.7234,81.6608,54.49,26.7765,109.199,97.64,2.36
8c 4c 3d,100,45.52,17.9569,87.6585,54.48,25.5431,104.194,61.51,38.49
8c 4d 4c,100,43.76,17.0625,86.6566,56.24,26.4375,104.454,65.78,34.22
8c 4d 2c,100,45.20,17.9521,88.2619,54.80,25.5479,103.599,60.35,39.65
8c 4d 3c,100,45.46,17.8339,87.1738,54.54,25.6661,104.58,63.40,36.60
8c 5c 2c,100,45.98,16.9696,82.0139,54.02,26.5303,109.138,96.95,3.05
8c 5c 2d,100,45.92,18.0424,87.3048,54.08,25.4576,104.617,64.49,35.51
8c 5c 3c,100,46.01,16.6573,80.4592,53.99,26.8427,110.476,99.93,0.07
8c 5c 3d,100,46.24,18.0561,86.7779,53.76,25.4439,105.171,65.64,34.36
8c 5c 4c,100,47.06,17.5238,82.7438,52.94,25.9762,109.045,88.52,11.48
8c 5c 4d,100,47.88,19.8877,92.3014,52.12,23.6123,100.677,41.73,58.27
8c 5d 5c,100,44.99,18.4408,91.0759,55.01,25.0592,101.24,48.63,51.37
8c 5d 2c,100,45.89,17.9402,86.8675,54.11,25.5598,104.978,66.05,33.95
8c 5d 3c,100,46.14,17.8423,85.9286,53.86,25.6577,105.866,68.66,31.34
8c 5d 4c,100,47.85,19.8048,91.9776,52.15,23.6952,100.969,42.97,57.03
8c 6c 2c,100,46.16,16.6768,80.2929,53.84,26.8231,110.702,99.69,0.31
8c 6c 2d,100,46.47,18.0262,86.1944,53.53,25.4738,105.759,67.08,32.92
8c 6c 3c,100,46.30,16.7362,80.3204,53.70,26.7638,110.763,99.62,0.38
8c 6c 3d,100,46.67,18.2569,86.9223,53.32,25.2431,105.196,63.81,36.19
8c 6c 4c,100,47.38,17.81,83.5261,52.62,25.6899,108.5,86.08,13.92
8c 6c 4d,100,48.12,19.809,91.4804,51.88,23.691,101.477,45.34,54.66
8c 6c 5c,100,47.97,18.3003,84.7834,52.03,25.1997,107.621,83.27,16.73
8c 6c 5d,100,49.12,20.5798,93.1018,50.88,22.9202,100.108,39.18,60.82
8c 6d 6c,100,45.26,18.3885,90.2811,54.74,25.1115,101.947,49.30,50.70
8c 6d 2c,100,46.44,17.907,85.679,53.56,25.593,106.195,68.65,31.35
8c 6d 3c,100,46.58,18.0291,86.0114,53.42,25.4709,105.958,67.14,32.86
8c 6d 4c,100,48.09,19.7131,91.0912,51.91,23.7869,101.832,46.74,53.26
8c 6d 5c,100,49.14,20.573,93.041,50.86,22.927,100.169,39.55,60.45
8c 7c 2c,100,45.87,16.5882,80.3612,54.13,26.9118,110.485,98.96,1.04
8c 7c 2d,100,46.07,17.6953,85.3622,53.93,25.8046,106.322,68.71,31.29
8c 7c 3c,100,45.98,16.3076,78.813,54.02,27.1924,111.864,99.91,0.09
8c 7c 3d,100,46.50,17.8264,85.1884,53.50,25.6736,106.644,68.87,31.13
8c 7c 4c,100,47.39,17.7862,83.4078,52.61,25.7138,108.609,85.44,14.56
8c 7c 4d,100,48.10,19.9826,92.3241,51.90,23.5174,100.691,39.38,60.62
8c 7c 5c,100,48.00,18.3703,85.0547,52.00,25.1297,107.384,81.57,18.43
8c 7c 5d,100,48.90,20.2598,92.076,51.10,23.2402,101.059,43.58,56.42
8c 7c 6c,100,48.32,18.2451,83.9053,51.68,25.2548,108.599,83.41,16.59
8c 7c 6d,100,49.56,20.5255,92.0332,50.44,22.9745,101.219,39.70,60.30
8c 7d 7c,100,44.88,17.6981,87.6281,55.12,25.8019,104.026,60.38,39.62
8c 7d 2c,100,46.11,17.7238,85.409,53.89,25.7762,106.301,68.30,31.70
8c 7d 3c,100,46.48,17.7396,84.8058,53.52,25.7604,106.969,69.99,30.01
8c 7d 4c,100,48.13,19.9786,92.242,51.87,23.5214,100.773,39.21,60.79
8c 7d 5c,100,48.96,20.3309,92.2701,51.04,23.1691,100.885,42.47,57.53
8c 7d 6c,100,49.61,20.5737,92.1632,50.39,22.9263,101.1,39.03,60.97
8d 8c 2c,100,42.77,17.5338,91.0953,57.23,25.9662,100.831,46.44,53.56
8d 8c 3c,100,43.00,17.4624,90.2458,57.00,26.0376,101.51,50.45,49.55
8d 8c 4c,100,43.79,18.0186,91.4469,56.21,25.4813,100.732,45.11,54.89
8d 8c 5c,100,44.45,17.9333,89.646,55.55,25.5667,102.285,56.92,43.08
8d 8c 6c,100,44.84,18.0184,89.2876,55.16,25.4816,102.666,56.54,43.46
8d 8c 7c,100,44.79,17.9046,88.84,55.21,25.5954,103.015,56.85,43.15
