Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
9c 8c 4d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 5d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 6d,0.00006,24.07,-24.6113,-56.8121,75.93,1082.47,130.785,25.43,74.57
9c 8c 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 7d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8d 8c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8d 5c,0.00001,19.26,-80.0104,-230.734,80.74,1137.35,129.242,26.01,73.99
9c 8d 6c,0.00005,24.27,-23.615,-54.051,75.73,1080.81,130.939,26.16,73.84
9c 8d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
9d 9c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9d 9c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9d 9c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9d 9c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9d 9c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9d 9c 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
9d 9c 8c,0,nan,nan,nan,nan,nan,nan,nan,nan
9h 9d 9c,0,36.81,36.9962,55.8403,63.19,1027.28,149.14,18.38,81.62
9d 3c 2c,0,13.15,-155.973,-658.938,86.85,1211.48,127.976,28.01,71.99
9d 4c 2c,0.00001,21.94,-55.1139,-139.585,78.06,1112.76,130.775,25.66,74.34
9d 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
