Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
7h 7d 2c,0.26411,59.94,195.648,120.883,40.06,53.1214,73.6769,0.00,16.23,36.59,47.18
7h 7d 3c,0.12276,58.11,195.157,124.386,41.89,53.063,70.373,0.00,12.47,41.19,46.33
7h 7d 4c,0.02526,57.71,195.435,125.422,42.29,52.6687,69.1928,0.00,10.06,44.11,45.83
7h 7d 5c,0.0181,58.32,195.632,124.243,41.68,52.5408,70.0289,0.00,10.84,43.25,45.91
7h 7d 6c,0.03609,57.25,194.271,125.686,42.75,52.8567,68.6854,0.00,11.55,44.17,44.28
7h 2d 2c,0.26758,58.36,194.543,123.463,41.64,51.624,68.8763,0.00,15.32,39.51,45.17
7h 3d 3c,0.05335,57.31,195.349,126.245,42.69,50.7648,66.0646,0.00,12.38,42.98,44.64
7h 3d 2c,0.28063,58.80,188.392,118.669,41.20,55.9922,75.498,0.00,6.85,50.29,42.86
7h 4d 4c,0.27431,58.02,195.517,124.802,41.98,50.91,67.3785,0.00,4.68,51.45,43.87
7h 4d 2c,0.16038,59.49,189.108,117.736,40.51,54.9311,75.3303,0.00,5.57,51.87,42.56
7h 4d 3c,0.00109,55.53,205.151,136.824,44.47,39.5963,49.4699,0.03,17.53,36.57,45.87
7h 5d 5c,0.27279,58.46,193.556,122.625,41.54,53.4585,71.4967,0.00,5.51,49.22,45.26
7h 5d 2c,0.12158,58.82,190.792,120.125,41.18,53.0021,71.5132,0.00,9.37,47.68,42.95
7h 5d 3c,0.0494,57.56,189.605,122.002,42.44,53.6751,70.2625,0.00,15.31,42.60,42.09
7h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 6c,0.21691,57.29,192.585,124.496,42.71,53.8,69.9866,0.00,8.54,47.73,43.74
7h 6d 2c,0.21737,57.00,192.841,125.295,43.00,50.4974,65.2472,0.00,11.95,46.62,41.42
